,Gene_x
398553,ENSG00000256029.6
89161,ENSG00000256278.1
274834,ENSG00000256312.1
893718,ENSG00000256339.1
893720,ENSG00000256343.8
89186,ENSG00000256403.1
89191,ENSG00000256433.3
151082,ENSG00000256442.2
151090,ENSG00000256469.1
151104,ENSG00000256538.2
97605,ENSG00000256571.1
97360,ENSG00000256588.1
132732,ENSG00000256705.3
398698,ENSG00000256706.2
151176,ENSG00000256875.2
89293,ENSG00000256897.1
89300,ENSG00000256928.1
89306,ENSG00000256955.2
213084,ENSG00000256967.1
151205,ENSG00000256988.2
89327,ENSG00000257042.1
89334,ENSG00000257058.1
893891,ENSG00000257120.1
27483,ENSG00000257222.1
69766,ENSG00000257239.1
646373,ENSG00000257258.2
89393,ENSG00000257279.1
398841,ENSG00000257322.7
89418,ENSG00000257391.1
893992,ENSG00000257496.3
159483,ENSG00000257509.1
151355,ENSG00000257545.5
151375,ENSG00000257607.1
27619,ENSG00000257703.6
89515,ENSG00000257735.1
151418,ENSG00000257769.1
89543,ENSG00000257831.1
89555,ENSG00000257878.3
894112,ENSG00000257918.1
151460,ENSG00000257925.1
894143,ENSG00000258035.2
97574,ENSG00000258068.2
646618,ENSG00000258114.1
27760,ENSG00000258177.1
894197,ENSG00000258196.1
530813,ENSG00000258199.1
89678,ENSG00000258302.2
89685,ENSG00000258323.1
159482,ENSG00000258344.1
159753,ENSG00000258450.1
902446,ENSG00000258454.1
151622,ENSG00000258455.1
894283,ENSG00000258465.8
461068,ENSG00000258466.5
133964,ENSG00000258472.10
27874,ENSG00000258515.1
399206,ENSG00000258521.1
89832,ENSG00000258674.5
151737,ENSG00000258702.5
275548,ENSG00000258763.5
89896,ENSG00000258790.1
151786,ENSG00000258792.4
213678,ENSG00000258800.1
151795,ENSG00000258811.1
151802,ENSG00000258820.5
151803,ENSG00000258824.2
151820,ENSG00000258857.1
89949,ENSG00000258891.1
275624,ENSG00000258919.1
239177,ENSG00000259080.1
53514,ENSG00000259084.6
523316,ENSG00000259188.6
770878,ENSG00000259212.1
152015,ENSG00000259242.2
239228,ENSG00000259244.1
152030,ENSG00000259276.1
152050,ENSG00000259314.1
461505,ENSG00000259345.7
90178,ENSG00000259347.9
407446,ENSG00000259377.1
832864,ENSG00000259408.2
28336,ENSG00000259442.1
399675,ENSG00000259469.1
894798,ENSG00000259515.1
90260,ENSG00000259522.3
152158,ENSG00000259544.1
90278,ENSG00000259564.2
90289,ENSG00000259589.2
214074,ENSG00000259607.1
301226,ENSG00000259628.1
71026,ENSG00000259668.6
214107,ENSG00000259692.6
956777,ENSG00000259723.1
98030,ENSG00000259735.1
98029,ENSG00000259771.1
90378,ENSG00000259793.1
531438,ENSG00000259797.1
90429,ENSG00000259915.2
276099,ENSG00000259940.2
90466,ENSG00000260011.2
152355,ENSG00000260017.1
36102,ENSG00000260035.1
90485,ENSG00000260059.1
90486,ENSG00000260060.1
276152,ENSG00000260066.1
90489,ENSG00000260070.1
90509,ENSG00000260118.1
895055,ENSG00000260121.1
90522,ENSG00000260145.1
152418,ENSG00000260167.1
97147,ENSG00000260190.1
709430,ENSG00000260206.1
28674,ENSG00000260235.1
777669,ENSG00000260253.1
90571,ENSG00000260256.1
152465,ENSG00000260271.4
276242,ENSG00000260272.1
276247,ENSG00000260279.4
964491,ENSG00000260288.6
276252,ENSG00000260289.2
98125,ENSG00000260293.2
214377,ENSG00000260331.1
647600,ENSG00000260349.1
338161,ENSG00000260350.1
98094,ENSG00000260361.1
160539,ENSG00000260366.1
276279,ENSG00000260369.2
895170,ENSG00000260392.6
158949,ENSG00000260412.1
152521,ENSG00000260416.1
214411,ENSG00000260418.1
152545,ENSG00000260464.1
90674,ENSG00000260495.1
98248,ENSG00000260511.1
90693,ENSG00000260545.1
276372,ENSG00000260578.1
1019035,ENSG00000260592.3
152612,ENSG00000260612.1
152613,ENSG00000260613.2
338286,ENSG00000260626.1
152630,ENSG00000260643.2
90749,ENSG00000260657.2
462081,ENSG00000260661.1
90756,ENSG00000260672.1
152674,ENSG00000260743.1
152677,ENSG00000260755.1
895339,ENSG00000260773.1
152701,ENSG00000260810.1
152705,ENSG00000260830.2
833490,ENSG00000260861.6
152725,ENSG00000260874.5
177710,ENSG00000260899.1
647846,ENSG00000260907.1
152744,ENSG00000260911.2
528526,ENSG00000260920.2
647866,ENSG00000260947.1
96914,ENSG00000260949.1
152765,ENSG00000260955.2
833551,ENSG00000260986.1
90902,ENSG00000261000.1
96654,ENSG00000261003.1
152803,ENSG00000261030.1
284621,ENSG00000261101.2
276618,ENSG00000261120.1
98123,ENSG00000261123.1
524185,ENSG00000261159.1
90979,ENSG00000261187.1
90987,ENSG00000261200.1
90993,ENSG00000261211.2
301535,ENSG00000261215.1
98271,ENSG00000261226.1
276680,ENSG00000261260.2
98208,ENSG00000261270.1
160086,ENSG00000261291.1
771806,ENSG00000261312.1
91046,ENSG00000261327.5
91071,ENSG00000261392.1
152962,ENSG00000261396.1
152967,ENSG00000261402.1
91085,ENSG00000261411.1
98118,ENSG00000261430.1
895638,ENSG00000261435.1
895646,ENSG00000261448.1
97955,ENSG00000261529.1
153024,ENSG00000261535.1
345798,ENSG00000261537.1
153030,ENSG00000261552.1
157772,ENSG00000261572.2
153046,ENSG00000261602.1
153048,ENSG00000261604.1
648154,ENSG00000261611.6
648169,ENSG00000261638.2
220796,ENSG00000261655.1
29313,ENSG00000261687.1
779036,ENSG00000261697.5
153105,ENSG00000261729.2
160062,ENSG00000261736.1
153116,ENSG00000261754.2
